"community.number","community","community.elev","community.Lat","community.Long","minelev","maxelev","total.host","andes","parasite.richness","parasite.observed","temp","precip","temp_var","precip_var","tempPCA1","tempPCA2","precipPCA1","precipPCA2","npp.raster"
1,"1.1trop",295,-11.711,-69.2128,277,318,553,"E",65,34,247,1916,1095,54,1.18886742239978,1.90678610554118,0.396512310089666,1.24879750873748,17670
2,"13.4temp",2792,-9.7275,-76.10600834,2080,3800,255,"E",66.994,27,151,698,781,56,-1.63003779580055,-0.688242725114807,-2.17911953318484,-0.464646808958375,22892
3,"2.2uppertrop",1200,-6.7167,-77.4167,1200,1490,249,"E",70.085,36,195,919,547,40,0.437231443764116,-0.573704014509964,-1.49073708128068,-0.590884870064281,19535
4,"2.3subtrop",2100,-6.106833333,-78.34158333,1884,2449,138,"E",241.51,86,176,853,444,33,0.120314041062881,-1.41369923495003,-1.61479566818135,-0.885212186249232,14203
5,"2.4temp",2820,-6.6833,-77.6833,2615,3200,215,"E",83.125,47,137,1056,520,42,-1.31794355474695,-1.51071025027727,-1.18384358450785,-0.390973313303502,12856
6,"2W.3subtrop",2500,-7.398033333,-78.77826667,2500,2500,84,"W",114.038,40,118,692,802,71,-2.36978928382365,-1.46558293958336,-2.0330988208095,0.207180867395835,19210
7,"3.5hitemp",3835,-14.05908333,-73.0016,3550,4578,112,"E",107.596,42,38,761,1317,87,-5.57039186788916,-0.46199801154046,-1.91508474860481,0.610012963875299,3753
8,"4.2uppertrop",1173,-13.0555,-71.52653333,684,1500,334,"E",118.257,44,199,2135,779,49,0.0659653003505973,-0.210368745166857,1.31748631725182,1.00779463932526,22646
9,"4.4temp",2857,-12.62141667,-72.2421,2170,3380,177,"E",263.249,82,173,1280,820,59,-1.08384678228567,-0.27520649007921,-0.914152679339531,0.422079473013332,17201
10,"5.5hitemp",3967,-11.76738334,-76.53193333,3040,4178,88,"W",50.179,28,20,834,1261,83,-5.23135602748382,-1.26347030939894,-1.72443938054487,0.82593157988049,6589
11,"6.1trop",348,-6.646666667,-76.082525,317,438,494,"E",59.094,27,260,1647,458,26,2.2450749193568,-0.608390525015992,0.472713458263732,-0.622447156944255,19583
12,"6.2uppertrop",1226,-7.40883,-76.26837,1118,1423,310,"E",63.405,22,232,1725,512,24,1.40726896768257,-0.737735263889954,0.566066009999621,-0.63500132150557,19691
13,"6.3subtrop",1621,-7.424216667,-76.2901,1502,1964,162,"E",114.04,37,223,1678,541,24,1.16798070156429,-0.906420545368016,0.453908957081928,-0.626374697061185,17578
14,"7.1trop",129,-5.89343,-79.78739,125,143,116,"W",93.912,23,241,154,1681,172,1.06688039100807,2.31248245215905,-3.94249307705046,0.203256262200356,5936
15,"7N.3subtrop",2050,-5.1,-79.2333,2050,2215,232,"E",85.359,36,179,1004,301,38,0.362012374573594,-1.97005420385559,-1.25596894769932,-0.72990891460067,18496
16,"7S.4temp",3276,-6.2414,-79.2434,3153,3554,82,"W",57.529,26,92,1061,542,48,-2.51275709149411,-2.27824180754875,-0.961059843075896,0.0645300002513453,4703
17,"8.1trop",309,-8.38685,-78.64518,309,357,93,"W",21.986,16,184,41,1760,87,-0.291028195749758,2.44014203493323,-3.8150003135146,-1.1132514201544,1954
18,"8.4temp",2550,-7.403833333,-78.77978333,2550,4073,90,"W",64.431,29,118,692,802,71,-2.36978928382365,-1.46558293958336,-2.0330988208095,0.207180867395835,9726
