"hostphylogeny.taxon","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"Aburria aburri",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Accipiter bicolor",1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
"Accipiter collaris",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Accipiter poliogaster",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accipiter striatus",0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
"Accipiter superciliosus",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Actitis macularius",1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
"Adelomyia melanogenys",0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1
"Aegolius harrisii",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Aeronautes andecolus",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"Aeronautes montivagus",0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Agamia agami",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agelasticus thilius",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aglaeactis castelnaudii",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aglaeactis cupripennis",0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1
"Aglaiocercus kingi",0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"Agriornis albicauda",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Agriornis montanus",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Aimophila stolzmanni",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Amaurolimnas concolor",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Amazilia amazilia",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"Amazilia chionogaster",0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Amazilia fimbriata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Amazilia franciae",0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Amazilia lactea",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Amazilia viridicauda",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Amazona amazonica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Amazona farinosa",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Amazona mercenaria",0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Amazona ochrocephala",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amblycercus holosericeus",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Ammodramus aurifrons",1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Ampelioides tschudii",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Ampelion rubrocristatus",0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
"Ampelion rufaxilla",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Anabacerthia striaticollis",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Anabazenops dorsalis",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Anairetes agraphia",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Anairetes alpinus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anairetes flavirostris",0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
"Anairetes nigrocristatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Anairetes parulus",0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
"Anairetes reguloides",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
"Anas bahamensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Anas cyanoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Anas flavirostris",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Anas georgica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anas platalea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anas puna",0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"Ancistrops strigilatus",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Andigena hypoglauca",0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"Anhima cornuta",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anhinga anhinga",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anisognathus igniventris",0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Anisognathus lacrymosus",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"Anisognathus somptuosus",0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"Anthracothorax nigricollis",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anthus bogotensis",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
"Anthus correndera",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anthus furcatus",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
