taxon,Minimum elevation,Maximum elevation,Source and Notes
Aburria aburri,1000,1900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Accipiter bicolor,0,2700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Accipiter collaris,1500,2500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Accipiter poliogaster,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Accipiter superciliosus,0,1350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Accipiter ventralis,900,3540,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Acropternis orthonyx,2300,2950,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Adelomyia melanogenys,1000,2900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aegolius harrisii,1500,2900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aeronautes andecolus,2000,4100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
