Order,Family,Scientific name,Elevation,Department,Provincia,distrito,Local,Latitude  degrees S,Latitude minutes,decimal minutes,Longitude degrees W,Longitude minutes,decimal minutes,neg.degrees.Lat,neg.degrees.Long
Piciformes,Capitonidae,Eubucco versicolor,1850,Cuzco,Quillabamba,,Tunquemayo,12,54.147,0.90245,72,48.491,0.808183333,-12.90245,-72.80818
Passeriformes,Thraupidae,Tangara cyanicollis,1800,Cuzco,Quillabamba,,Tunquemayo,12,54.147,0.90245,72,48.491,0.808183333,-12.90245,-72.80818
Apodiformes,Trochilidae,Aglaeactis cupripennis,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Aglaeactis cupripennis,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Tyrannidae,Anairetes parulus,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Furnariidae,Asthenes helleri,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Emberizidae,Atlapetes canigenis,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Thraupidae,Catamblyrhynchus diadema,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Coeligena violifer,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Coeligena violifer,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Coeligena violifer,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Coeligena violifer,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Coeligena violifer,3361,Cuzco,Paucartambo,Challabamba,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Colibri coruscans,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Thraupidae,Conirostrum cinereum,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Thraupidae,Conirostrum cinereum,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Eriocnemis luciani,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Thraupidae,Hemispingus atropileus,3201,Cuzco,,,Puente de la Sirena,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Thraupidae,Hemispingus parodii,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Thraupidae,Hemispingus parodii,3201,Cuzco,,,Puente de la Sirena,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Troglodytidae,Henicorhina leucophrys,3201,Cuzco,,,Puente de la Sirena,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura aeneocauda,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura aeneocauda,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura aeneocauda,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura aeneocauda,3552,Cuzco,,,Carrizales,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3552,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3201,Cuzco,,,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3361,Cuzco,Paucartambo,Challabamba,,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Apodiformes,Trochilidae,Metallura tyrianthina,3361,Cuzco,Paucartambo,Challabamba,Paucartambo,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Tyrannidae,Ochthoeca cinnamomeiventris,3201,Cuzco,,,Puente de la Sirena,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Tyrannidae,Ochthoeca cinnamomeiventris,3201,Cuzco,,,Puente de la Sirena,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
Passeriformes,Tyrannidae,Ochthoeca cinnamomeiventris,3201,Cuzco,,,Puente de la Sirena,13,10.655,0.177583333,72,35.76,0.596,-13.17758,-72.596
