"","x"
"1","Myrmotherula longipennis"
"2","Dendrocolaptes certhia"
"3","Epinecrophylla haematonota"
"4","Cyphorhinus arada"
"5","Crypturellus undulatus"
"6","Phaethornis philippii"
"7","Phaethornis ruber"
"8","Ceratopipra chloromeros"
"9","Penelope jacquacu"
"10","Myiozetetes cayanensis"
"11","Heliomaster longirostris"
"12","Casiornis rufus"
"13","Mionectes macconnelli"
"14","Thamnomanes schistogynus"
"15","Corythopis torquatus"
"16","Habia rubica"
"17","Myrmoborus myotherinus"
"18","Xiphorhynchus elegans"
"19","Glyphorynchus spirurus"
"20","Sclerurus caudacutus"
"21","Florisuga mellivora"
"22","Crypturellus obsoletus"
"23","Rhegmatorhina melanosticta"
"24","Momotus momota"
"25","Pipra fasciicauda"
"26","Philydor erythrocercum"
"27","Lipaugus vociferans"
"28","Piprites chloris"
"29","Epinecrophylla leucophthalma"
"30","Isleria hauxwelli"
"31","Dendrocincla merula"
"32","Leptopogon amaurocephalus"
"33","Xenops minutus"
"34","Mionectes oleagineus"
"35","Rhytipterna simplex"
"36","Attila spadiceus"
"37","Simoxenops ucayalae"
"38","Lepidothrix coronata"
"39","Automolus subulatus"
"40","Xiphorhynchus guttatus"
"41","Terenotriccus erythrurus"
"42","Thamnomanes ardesiacus"
"43","Glaucis hirsutus"
"44","Lophotriccus eulophotes"
"45","Cymbilaimus lineatus"
"46","Ramphocelus carbo"
"47","Gymnopithys salvini"
"48","Onychorhynchus coronatus"
"49","Pteroglossus beauharnaesii"
"50","Crypturellus soui"
"51","Tangara velia"
"52","Lamprospiza melanoleuca"
"53","Pteroglossus inscriptus"
"54","Chiroxiphia pareola"
"55","Trogon collaris"
"56","Pionus menstruus"
"57","Deconychura longicauda"
"58","Willisornis poecilinotus"
"59","Thalurania furcata"
"60","Columbina talpacoti"
"61","Volatinia jacarina"
"62","Pheugopedius genibarbis"
"63","Psittacara leucophthalmus"
"64","Thamnophilus aethiops"
"65","Tolmomyias poliocephalus"
"66","Trogon melanurus"
"67","Synallaxis rutilans"
"68","Geotrygon montana"
"69","Thraupis palmarum"
"70","Myrmeciza atrothorax"
"71","Inezia inornata"
"72","Platyrinchus platyrhynchos"
"73","Harpagus bidentatus"
"74","Tangara mexicana"
"75","Campephilus rubricollis"
"76","Psarocolius decumanus"
"77","Dacnis lineata"
"78","Cyanocompsa cyanoides"
"79","Coryphospingus cucullatus"
"80","Pitangus sulphuratus"
"81","Sporophila caerulescens"
"82","Phaeomyias murina"
"83","Elaenia spectabilis"
"84","Coccyzus melacoryphus"
"85","Vireo olivaceus"
"86","Pheucticus chrysogaster"
"87","Leptotila verreauxi"
"88","Tityra cayana"
"89","Elaenia sp."
"90","Glaucidium brasilianum"
"91","Troglodytes aedon"
"92","Dryocopus lineatus"
"93","Crotophaga ani"
"94","Cercomacra cinerascens"
"95","Querula purpurata"
"96","Trogon ramonianus"
"97","Campylopterus largipennis"
"98","Chelidoptera tenebrosa"
"99","Sturnella militaris"
"100","Hylocharis cyanus"
"101","Myiozetetes similis"
"102","Turdus amaurochalinus"
"103","Cyanocorax violaceus"
"104","Sporophila angolensis"
"105","Chrysuronia oenone"
"106","Ammodramus aurifrons"
"107","Anthracothorax nigricollis"
"108","Pyrocephalus rubinus"
"109","Myiarchus ferox"
"110","Molothrus bonariensis"
"111","Ortalis guttata"
"112","Turdus hauxwelli"
"113","Myiarchus swainsoni"
"114","Chaetura egregia"
"115","Molothrus oryzivorus"
"116","Ramphastos tucanus"
"117","Myrmeciza hemimelaena"
"118","Tunchiornis ochraceiceps"
"119","Myrmotherula axillaris"
"120","Thamnophilus schistaceus"
"121","Formicarius colma"
"122","Myrmeciza fortis"
"123","Selenidera reinwardtii"
"124","Heliangelus amethysticollis"
"125","Arremon assimilis"
"126","Adelomyia melanogenys"
"127","Coeligena torquata"
"128","Scytalopus sp. unid."
"129","Pterophanes cyanopterus"
"130","Ochthoeca frontalis"
"131","Nephelornis oneilli"
"132","Eriocnemis luciani"
"133","Hemispingus melanotis"
"134","Diglossa mystacalis"
"135","Metallura eupogon"
"136","Ochthoeca rufipectoralis"
"137","Coeligena violifer"
"138","Cinclodes albiventris"
"139","Asthenes palpebralis"
"140","Mecocerculus leucophrys"
"141","Hellmayrea gularis"
"142","Ampelion rubrocristatus"
"143","Diglossa brunneiventris"
"144","Xenodacnis parina"
"145","Diglossa cyanea"
"146","Conirostrum cinereum"
"147","Aglaeactis cupripennis"
"148","Cranioleuca albicapilla"
"149","Uropsalis segmentata"
"150","Thraupis cyanocephala"
"151","Synallaxis unirufa"
"152","Synallaxis azarae"
"153","Myiothlypis luteoviridis"
"154","Colaptes rivolii"
"155","Mecocerculus stictopterus"
"156","Cinnycerthia peruana"
"157","Cistothorus platensis"
"158","Atlapetes schistaceus"
"159","Metallura tyrianthina"
"160","Troglodytes solstitialis"
"161","Hemispingus atropileus"
"162","Aglaiocercus kingii"
"163","Henicorhina leucophrys"
"164","Eutoxeres condamini"
"165","Ochthoeca cinnamomeiventris"
"166","Catamblyrhynchus diadema"
"167","Basileuterus signatus"
"168","Pseudocolaptes boissonneautii"
"169","Cinnycerthia olivascens"
"170","Aulacorhynchus coeruleicinctis"
"171","Margarornis squamiger"
"172","Elaenia pallatangae"
"173","Scytalopus acutirostris"
"174","Anairetes parulus"
"175","Zonotrichia capensis"
"176","Lafresnaya lafresnayi"
"177","Iridosornis reinhardti"
"178","Pseudotriccus ruficeps"
"179","Turdus fuscater"
"180","Amblycercus holosericeus"
"181","Ochthoeca pulchella"
"182","Phyllomyias uropygialis"
"183","Anisognathus lacrymosus"
"184","Amazilia chionogaster"
"185","Conirostrum sitticolor"
"186","Veniliornis nigriceps"
"187","Myioborus melanocephalus"
