MSB.taxon,Birdlife.taxon,BirdTree.taxon,hostphylogeny.taxon
Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri
,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor
,Accipiter collaris,Accipiter collaris,Accipiter collaris
,Accipiter poliogaster,Accipiter poliogaster,Accipiter poliogaster
Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus
Accipiter superciliosus,Accipiter superciliosus,Accipiter superciliosus,Accipiter superciliosus
,Actitis macularius,Actitis macularius,Actitis macularius
Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys
Aegolius harrisii,Aegolius harrisii,Aegolius harrisii,Aegolius harrisii
,Aeronautes andecolus,Aeronautes andecolus,Aeronautes andecolus
,Aeronautes montivagus,Aeronautes montivagus,Aeronautes montivagus
,Agamia agami,Agamia agami,Agamia agami
Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii
Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis
Aglaiocercus kingii,Aglaiocercus kingii,Aglaiocercus kingi,Aglaiocercus kingi
Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda
Agriornis montanus,Agriornis montanus,Agriornis montanus,Agriornis montanus
Rhynchospiza stolzmanni,Rhynchospiza stolzmanni,Aimophila stolzmanni,Aimophila stolzmanni
,Amaurolimnas concolor,Amaurolimnas concolor,Amaurolimnas concolor
Amazilia chionogaster,Amazilia chionogaster,Amazilia chionogaster,Amazilia chionogaster
,Amazilia fimbriata,Amazilia fimbriata,Amazilia fimbriata
Amazilia franciae,Amazilia franciae,Amazilia franciae,Amazilia franciae
Amazilia lactea,Amazilia bartletti,Amazilia lactea,Amazilia lactea
Amazilia viridicauda,Amazilia viridicauda,Amazilia viridicauda,Amazilia viridicauda
,Amazona amazonica,Amazona amazonica,Amazona amazonica
,Amazona farinosa,Amazona farinosa,Amazona farinosa
Amazona mercenarius,Amazona mercenarius,Amazona mercenaria,Amazona mercenaria
,Amazona ochrocephala,Amazona ochrocephala,Amazona ochrocephala
Amblycercus holosericeus,Amblycercus holosericeus,Amblycercus holosericeus,Amblycercus holosericeus
Ammodramus aurifrons,Ammodramus aurifrons,Ammodramus aurifrons,Ammodramus aurifrons
Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii
Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion rubrocristatus
,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla
Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis
Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis
Uromyias agraphia,Uromyias agraphia,Anairetes agraphia,Anairetes agraphia
Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris
Anairetes parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus
Anairetes reguloides,Anairetes reguloides,Anairetes reguloides,Anairetes reguloides
,Anas bahamensis,Anas bahamensis,Anas bahamensis
,Spatula cyanoptera,Anas cyanoptera,Anas cyanoptera
,Anas flavirostris,Anas flavirostris,Anas flavirostris
,Anas georgica,Anas georgica,Anas georgica
,Spatula platalea,Anas platalea,Anas platalea
,Spatula puna,Anas puna,Anas puna
Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops strigilatus
Andigena hypoglauca,Andigena hypoglauca,Andigena hypoglauca,Andigena hypoglauca
,Anhima cornuta,Anhima cornuta,Anhima cornuta
,Anhinga anhinga,Anhinga anhinga,Anhinga anhinga
Anisognathus igniventris,Anisognathus lunulatus,Anisognathus igniventris,Anisognathus igniventris
Anisognathus lacrymosus,Anisognathus lacrymosus,Anisognathus lacrymosus,Anisognathus lacrymosus
Anisognathus somptuosus,Anisognathus somptuosus,Anisognathus somptuosus,Anisognathus somptuosus
Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis
,Anthus bogotensis,Anthus bogotensis,Anthus bogotensis
,Anthus correndera,Anthus correndera,Anthus correndera
,Anthus furcatus,Anthus furcatus,Anthus furcatus
,Anthus peruvianus,Anthus lutescens,Anthus lutescens
,Rufirallus castaneiceps,Anurolimnas castaneiceps,Anurolimnas castaneiceps
,Porzana fasciata,Anurolimnas fasciatus,Anurolimnas fasciatus
,Rufirallus viridis,Anurolimnas viridis,Anurolimnas viridis
,Ara ararauna,Ara ararauna,Ara ararauna
,Ara chloropterus,Ara chloropterus,Ara chloropterus
,Ara macao,Ara macao,Ara macao
,Ara militaris,Ara militaris,Ara militaris
,Ara severus,Ara severus,Ara severus
,Aramides cajaneus,Aramides cajanea,Aramides cajanea
,Aramus guarauna,Aramus guarauna,Aramus guarauna
Psittacara erythrogenys,Psittacara erythrogenys,Aratinga erythrogenys,Aratinga erythrogenys
Psittacara leucophthalmus,Psittacara leucophthalmus,Aratinga leucophthalma,Aratinga leucophthalma
Psittacara mitratus,Psittacara mitratus,Aratinga mitrata,Aratinga mitrata
,Psittacara frontatus,Aratinga wagleri,Aratinga wagleri
,Aratinga weddellii,Aratinga weddellii,Aratinga weddellii
,Ardea cocoi,Ardea cocoi,Ardea cocoi
,Arremon abeillei,Arremon abeillei,Arremon abeillei
Arremon aurantiirostris,Arremon aurantiirostris,Arremon aurantiirostris,Arremon aurantiirostris
Arremon brunneinucha,Arremon brunneinucha,Arremon brunneinucha,Arremon brunneinucha
Arremon taciturnus,Arremon taciturnus,Arremon taciturnus,Arremon taciturnus
Arremon assimilis,Arremon assimilis,Arremon torquatus,Arremon torquatus
,Asio flammeus,Asio flammeus,Asio flammeus
Asio stygius,Asio stygius,Asio stygius,Asio stygius
,Cranioleuca berlepschi,Asthenes berlepschi,Asthenes berlepschi
Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,Asthenes flammulata
Asthenes humilis,Asthenes humilis,Asthenes humilis,Asthenes humilis
,Asthenes modesta,Asthenes modesta,Asthenes modesta
Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis
Asthenes pudibunda,Asthenes pudibunda,Asthenes pudibunda,Asthenes pudibunda
,Asthenes urubambensis,Asthenes urubambensis,Asthenes urubambensis
Asthenes virgata,Asthenes virgata,Asthenes virgata,Asthenes virgata
,Asthenes wyatti,Asthenes wyatti,Asthenes wyatti
Athene cunicularia,Athene cunicularia,Athene cunicularia,Athene cunicularia
Atlapetes canigenis,Atlapetes canigenis,Atlapetes canigenis,Atlapetes canigenis
Atlapetes forbesi,Atlapetes forbesi,Atlapetes forbesi,Atlapetes forbesi
Atlapetes latinuchus,Atlapetes latinuchus,Atlapetes latinuchus,Atlapetes latinuchus
Atlapetes melanolaemus,Atlapetes melanolaemus,Atlapetes melanolaemus,Atlapetes melanolaemus
Atlapetes nationi,Atlapetes nationi,Atlapetes nationi,Atlapetes nationi
Atlapetes schistaceus,Atlapetes taczanowskii,Atlapetes schistaceus,Atlapetes schistaceus
Atlapetes seebohmi,Atlapetes seebohmi,Atlapetes seebohmi,Atlapetes seebohmi
,Atlapetes tricolor,Atlapetes tricolor,Atlapetes tricolor
,Atticora fasciata,Atticora fasciata,Atticora fasciata
,Attila bolivianus,Attila bolivianus,Attila bolivianus
,Attila cinnamomeus,Attila cinnamomeus,Attila cinnamomeus
,Attila citriniventris,Attila citriniventris,Attila citriniventris
Attila spadiceus,Attila spadiceus,Attila spadiceus,Attila spadiceus
Aulacorhynchus prasinus,Aulacorhynchus atrogularis,Aulacorhynchus prasinus,Aulacorhynchus atrogularis
Aulacorhynchus coeruleicinctis,Aulacorhynchus coeruleicinctis,Aulacorhynchus coeruleicinctis,Aulacorhynchus coeruleicinctis
,Aulacorhynchus cyanolaemus,Aulacorhynchus prasinus,Aulacorhynchus cyanolaemus
Aulacorhynchus derbianus,Aulacorhynchus derbianus,Aulacorhynchus derbianus,Aulacorhynchus derbianus
,Automolus infuscatus,Automolus infuscatus,Automolus infuscatus
,Automolus melanopezus,Automolus melanopezus,Automolus melanopezus
Automolus ochrolaemus,Automolus ochrolaemus,Automolus ochrolaemus,Automolus ochrolaemus
Clibanornis rubiginosus,Clibanornis rubiginosus,Automolus rubiginosus,Automolus rubiginosus
